PSM	H13C	0.250	0.7	HL
PSM	C12	-0.100	2.010	CTL2
PSM	H12A	0.250	0.7	HL
PSM	H12B	0.250	0.7	HL
PSM	C11	-0.080	2.010	CTL2
PSM	H11A	0.090	1.3400	HAL2
PSM	H11B	0.090	1.3400	HAL2
PSM	P	1.500	2.15	PL
PSM	O13	-0.780	1.70	O2L
PSM	O14	-0.780	1.70	O2L
PSM	O11	-0.570	1.6500	OSLP
PSM	O12	-0.570	1.6500	OSLP
PSM	C1S	-0.080	2.010	CTL2
PSM	H1S	0.090	1.3400	HAL2
PSM	H1T	0.090	1.3400	HAL2
PSM	NF	-0.700	1.85	NHL
PSM	HNF	0.350	0.224500	H
PSM	C2S	0.300	2.275	CTL1
PSM	H2S	0.050	1.3200	HAL1
PSM	C3S	0.500	2.010	CTO1
PSM	H3S	-0.110	1.3200	HAL1
PSM	O3	-0.690	1.77	OHL
PSM	HO3	0.300	0.2245	HOL
PSM	C4S	-0.150	2.010	CEL3
PSM	H4S	0.150	1.25	HEL1
PSM	C5S	-0.150	2.010	CEL3
PSM	H5S	0.150	1.25	HEL1
PSM	C6S	-0.180	2.010	CTL2
PSM	H6S	0.090	1.3400	HAL2
PSM	H6T	0.090	1.3400	HAL2
PSM	C7S	-0.180	2.010	CTL2
PSM	H7S	0.090	1.3400	HAL2
PSM	H7T	0.090	1.3400	HAL2
PSM	C8S	-0.180	2.010	CTL2
PSM	H8S	0.090	1.3400	HAL2
PSM	H8T	0.090	1.3400	HAL2
PSM	C9S	-0.180	2.010	CTL2
PSM	H9S	0.090	1.3400	HAL2
PSM	H9T	0.090	1.3400	HAL2
PSM	C10S	-0.180	2.010	CTL2
PSM	H10S	0.090	1.3400	HAL2
PSM	H10T	0.090	1.3400	HAL2
PSM	C11S	-0.180	2.010	CTL2
PSM	H11S	0.090	1.3400	HAL2
PSM	H11T	0.090	1.3400	HAL2
PSM	C12S	-0.180	2.010	CTL2
PSM	H12S	0.090	1.3400	HAL2
PSM	H12T	0.090	1.3400	HAL2
PSM	C13S	-0.180	2.010	CTL2
PSM	H13S	0.090	1.3400	HAL2
PSM	H13T	0.090	1.3400	HAL2
PSM	C14S	-0.180	2.010	CTL2
PSM	H14S	0.090	1.3400	HAL2
PSM	H14T	0.090	1.3400	HAL2
PSM	C15S	-0.180	2.010	CTL2
PSM	H15S	0.090	1.3400	HAL2
PSM	H15T	0.090	1.3400	HAL2
PSM	C16S	-0.180	2.010	CTL2
PSM	H16S	0.090	1.3400	HAL2
PSM	H16T	0.090	1.3400	HAL2
PSM	C17S	-0.180	2.010	CTL2
PSM	H17S	0.090	1.3400	HAL2
PSM	H17T	0.090	1.3400	HAL2
PSM	C18S	-0.270	2.040	CTL3
